"time","state.hour","state.value"
"2022-01-24T13:37:21.381+03:00",,"0"
"2022-01-24T13:52:52.797+03:00",,"0"
"2022-01-24T13:55:36.574+03:00",,"1"
"2022-01-24T13:55:44.433+03:00",,"0"
"2022-01-24T14:42:57.231+03:00",,"1"
"2022-01-24T14:43:09.387+03:00",,"0"
"2022-01-24T14:52:54.520+03:00",,"0"
"2022-01-24T15:18:53.188+03:00",,"1"
"2022-01-24T15:18:57.625+03:00",,"0"
"2022-01-24T15:52:57.075+03:00",,"0"
"2022-01-24T16:52:58.464+03:00",,"0"
"2022-01-24T17:53:00.153+03:00",,"0"
"2022-01-24T18:20:58.491+03:00",,"1"
"2022-01-24T18:21:09.895+03:00",,"0"
"2022-01-24T18:53:02.317+03:00",,"0"
"2022-01-24T19:06:02.201+03:00",,"1"
"2022-01-24T19:06:06.655+03:00",,"0"
"2022-01-24T19:07:19.248+03:00",,"1"
"2022-01-24T19:07:29.806+03:00",,"0"
"2022-01-24T19:41:59.253+03:00",,"1"
"2022-01-24T19:42:12.110+03:00",,"0"
"2022-01-24T19:53:02.650+03:00",,"0"
"2022-01-24T20:09:54.437+03:00",,"1"
"2022-01-24T20:10:01.639+03:00",,"0"
"2022-01-24T20:25:31.451+03:00",,"1"
"2022-01-24T20:27:05.143+03:00",,"0"
"2022-01-24T20:41:45.783+03:00",,"1"
"2022-01-24T20:45:54.909+03:00",,"0"
"2022-01-24T20:53:04.844+03:00",,"0"
"2022-01-24T21:26:27.493+03:00",,"1"
"2022-01-24T21:27:22.058+03:00",,"0"
"2022-01-24T22:53:07.390+03:00",,"0"
"2022-01-24T23:07:35.366+03:00",,"1"
"2022-01-24T23:07:42.793+03:00",,"1"
"2022-01-24T23:07:46.167+03:00",,"0"
"2022-01-24T23:11:53.582+03:00",,"1"
"2022-01-24T23:11:56.831+03:00",,"0"
"2022-01-24T23:41:05.725+03:00",,"0"
"2022-01-24T23:41:11.986+03:00",,"1"
"2022-01-24T23:53:08.844+03:00",,"0"
"2022-01-25T00:33:59.875+03:00",,"0"
"2022-01-25T00:53:10.673+03:00",,"0"
"2022-01-25T02:53:13.372+03:00",,"0"
"2022-01-25T03:53:15.023+03:00",,"0"
"2022-01-25T04:53:17.397+03:00",,"0"
"2022-01-25T05:53:18.396+03:00",,"0"
"2022-01-25T06:53:19.350+03:00",,"0"
"2022-01-25T07:53:20.489+03:00",,"0"
"2022-01-25T09:11:37.543+03:00",,"1"
"2022-01-25T09:11:47.623+03:00",,"0"
"2022-01-25T09:53:24.160+03:00",,"0"
"2022-01-25T09:56:34.529+03:00",,"1"
